parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0
126.81257,9.595896,1332.0872,21402.406,-171.17688,26576.863,1.6529869,120.79573,0.29164192,0.34013325,0.52853364,0.06352492,0.0060424577,0.00020396904,0.0017723085,-0.0006506967,8.01127e-05,183.49464,45.856823,259.2017,38.165546,0.7704205,55.66275,66.4937,44.670177,0.0013064388,82.0509,0.26861033,6.5711727,-0.08849091
253.57394,8.690047,1434.5907,16926.008,-225.3072,32394.686,1.8653823,106.34072,0.37607998,0.25241646,0.46731862,0.07098661,0.0039053992,0.000312787,0.004702923,0.00067844125,9.184893e-05,145.1055,30.48151,221.86024,24.41394,0.89371234,53.248844,55.803047,34.73048,0.0026039418,68.45397,1.2944297,6.269342,0.10228871
503.43362,11.082152,1272.9652,23629.605,186.1012,10749.207,1.9268198,122.702065,0.36101466,0.3431002,0.5741275,0.063426256,0.0042456677,0.00019764595,0.0048553515,0.0018496393,-7.957125e-05,177.35765,38.685383,267.13425,20.40141,0.8279288,68.43845,56.10208,60.275135,0.00052748114,84.55511,1.20924,4.7200522,0.19464432
464.3305,10.796915,1021.03455,13900.419,513.70355,16903.734,2.8250988,98.32978,0.31178498,0.29669064,0.43849027,0.061729383,0.003942844,0.0002102747,0.003304601,0.00041307564,4.102786e-05,164.18312,43.691814,253.1697,24.145092,0.91241336,63.875355,47.446156,52.407803,0.0051117525,91.20104,0.6296203,2.8236732,0.055761304
364.58945,9.475421,951.704,23755.117,-69.57493,26382.018,2.3980327,108.33045,0.4189895,0.3165291,0.5672292,0.08092285,0.0016929565,0.00022999156,0.00231769,0.000329639,2.3317973e-05,170.8392,32.160343,271.2196,21.29844,0.93958783,66.47363,70.94341,46.37225,0.002370497,68.107254,1.1967578,4.918767,0.15070365
798.3798,10.448119,1202.9989,9228.342,33.626366,11759.354,2.2356038,133.83505,0.32330492,0.39340794,0.55357265,0.06474767,0.004714697,0.00026318975,0.0024110216,0.0022977132,3.2460033e-05,159.4143,42.259342,244.23189,49.738567,0.8297856,47.550053,62.57082,46.333305,0.0039662328,93.98135,0.8174738,3.5587993,0.045715656
618.72614,10.607162,1501.8267,19564.146,-76.442856,31188.492,1.9997938,121.1415,0.33047462,0.34268287,0.5435171,0.07055465,0.0038176298,0.00015851014,0.004446268,-0.0031257246,-5.648637e-06,170.2091,35.37,226.27386,19.324314,0.82133275,61.57126,69.791214,54.013187,0.0022571837,78.54937,0.7926052,10.878488,-0.004185488
288.6463,10.910994,1289.9269,34125.004,466.79358,12303.087,1.9876533,101.889984,0.4202327,0.30755037,0.51999366,0.05890737,0.0050600027,0.00014172956,0.0023844473,-0.00064403156,-0.00017611346,163.2462,41.805374,254.22519,31.9428,0.8420708,56.989395,53.20607,35.212326,0.0022930258,65.23315,0.15979825,3.3883476,0.16029409
579.10297,8.478389,1149.1166,21568.781,16.797125,19883.457,3.03829,115.204094,0.2739484,0.38179454,0.5109137,0.08082849,0.004519731,0.00028688082,0.0042689983,0.0014321535,0.00021796794,176.36264,65.09053,219.66412,19.506388,0.8513084,47.777428,63.41539,62.463284,0.0021276108,72.73293,0.6939574,7.89363,0.17321004
9.313904,9.006409,1297.7029,28648.135,-147.094,-1928.4341,1.5686479,124.80284,0.33298758,0.33703777,0.40704867,0.06488738,0.0038317696,0.00021555193,0.0036819612,0.0015189183,-3.8535338e-05,128.67484,49.18211,218.30392,21.66997,0.8782275,43.83636,62.308636,51.688198,0.00084397924,93.13219,-0.019757446,5.813176,0.1295944
192.97205,11.058245,1352.7522,16359.97,-90.956024,27575.053,1.7040937,122.17546,0.38856944,0.39223146,0.6089569,0.07032104,0.002583469,0.00034273832,0.0048334454,0.00027348378,0.000100634,166.60397,42.516167,242.5682,26.262516,0.8241905,52.597534,70.2715,59.738697,0.0034517148,74.69496,1.0789285,4.022934,0.016457358
355.93933,10.46975,1349.6831,15555.911,-79.461624,25160.924,1.4198731,145.85922,0.28975436,0.30847308,0.4830564,0.06384731,0.003528173,0.00026777785,0.0022413724,-0.001164137,9.178876e-05,193.2525,47.730656,234.85526,24.41057,0.9496299,57.55141,63.25129,30.11513,0.0042011696,88.75872,0.3232172,5.959426,0.046778064
436.69452,8.699929,1125.0328,44986.324,-394.60056,17531.34,1.2486603,109.38778,0.38771713,0.36892295,0.6124685,0.07414571,0.0038158505,0.00013932108,0.0031494994,0.00020727821,2.3421308e-05,169.42018,41.56502,249.06886,44.096542,0.89774466,60.483654,71.87238,40.079536,0.003055214,69.49787,0.72696126,3.7113354,0.17825434
472.65158,11.15814,1455.6885,20596.424,-181.62141,8529.022,1.9513732,110.0254,0.35950652,0.3014347,0.6081115,0.05936295,0.0050407983,0.00012211353,0.0023654893,-0.0006485022,7.307255e-05,195.74094,35.9963,212.11601,10.611954,0.79990786,57.95797,67.483986,39.01799,0.0019521866,82.815186,1.2087626,7.790971,0.17993295
396.70078,11.2589445,951.2172,31877.395,3.340176,42361.457,1.3950331,121.66873,0.33349198,0.3803155,0.48780856,0.08543535,0.0051073576,3.5465553e-05,0.0024107615,-0.0011270999,2.1632673e-06,167.70929,41.934822,270.82755,4.337732,0.8677475,59.840782,59.645546,44.66711,0.002177756,77.682274,0.6966916,6.9017954,0.17956388
506.71512,11.772362,1412.7521,27157.768,-32.58148,37692.1,1.9467982,112.85003,0.35692474,0.32071558,0.57400745,0.07527011,0.005271519,0.00024050954,0.005261773,-0.0011450006,4.134019e-05,175.51982,39.44745,227.8979,24.29222,0.86991596,67.932495,64.84291,34.326572,0.0038415652,70.08174,1.0518667,7.0241566,0.009761631
469.78885,9.657647,1365.5099,21981.303,24.351553,25531.41,1.5243347,115.60303,0.34030345,0.43008482,0.48963842,0.07819312,0.0043985914,0.0001450377,0.0032072666,0.00022815946,4.4873883e-07,167.27492,49.48767,249.42966,20.439882,0.813294,53.456684,73.43705,16.514992,0.0029072918,91.34501,1.1027567,5.355681,0.12687702
300.87723,8.992963,1252.9792,26194.924,-529.0076,31500.275,2.86743,87.28166,0.36258122,0.3210494,0.51706094,0.075456254,0.005266624,0.0001708975,0.00393906,0.00087010005,6.941398e-05,158.11293,52.673862,235.99971,10.225445,0.8907614,41.39677,64.22348,45.46734,0.0019304269,83.08794,2.0196834,5.555879,0.040397212
441.71194,9.110346,1231.4857,17126.72,219.35495,13422.433,1.6696582,117.1789,0.3902667,0.22358282,0.5115477,0.079289615,0.0051665218,0.00021368553,0.0032530352,0.00034662848,0.00021793271,177.32755,41.447174,245.74377,18.41681,0.9323823,57.658928,47.817867,46.6113,0.0039342307,96.35958,0.8245286,5.7641478,0.07356036
222.92166,9.597797,1000.2543,22388.162,-69.60813,19531.494,1.4252571,116.38159,0.35570943,0.33944753,0.5078203,0.05580501,0.0037293788,0.00038963623,0.004475262,0.00066504435,2.6159667e-05,193.89885,43.12915,237.33447,30.476994,0.9178058,56.96092,61.53644,48.806793,0.0019151402,59.654064,0.848764,5.9438267,0.2841567
265.84448,9.765784,1116.2491,15782.037,-194.38727,14627.5205,2.5163336,122.66901,0.3322431,0.4145256,0.46958604,0.06742292,0.0033749454,0.0003094469,0.003509856,-0.0010855467,-1.9243238e-05,190.725,24.701988,261.99426,23.933378,0.9088277,66.28537,54.153,28.498621,0.0031739732,68.29654,0.5581818,6.2187333,0.18963282
