pft,sw,par,ta,vpd,wds,lai,sza,vza,raa,CI,lidf,cab,lma,RUB,Rdsc,CB6F,gm,BallBerrySlope,BallBerry0,an,lst,fpar,ref_red,ref_nir,brf_red,brf_nir
3.0,526.413,1076.411,10.255,3.615,0.621,5.2,62.12163573374272,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,11.812567701993874,8.89979541213279,0.9585128165193478,0.01713580728298696,0.39596511315964134,0.01358828924325451,0.2700890950546727
3.0,157.253,322.93600000000004,24.8255,21.7,3.025,4.3,67.08063604822215,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,5.8834432588087395,23.295567688353913,0.9358340108730271,0.01878437062628099,0.39884213871370877,0.01638798574550402,0.27714195062802377
3.0,324.283,688.365,17.9875,3.135,2.1025,1.0,53.52461856885997,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,4.104473534173122,16.969279334572775,0.4973095951547752,0.05116670652315473,0.3436159265702426,0.0592846692522111,0.3054560886884665
3.0,439.803,933.498,18.3675,12.705,2.905,2.2,36.87714396932861,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,8.443615053355465,17.272510176968296,0.769081686392927,0.030222862048337285,0.38737515495599395,0.03374226555551796,0.29498237891324736
3.0,240.769,420.44,15.849,1.065,4.019,4.6000000000000005,29.56531747964772,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,8.575213553383481,14.440289739377079,0.9425431395603542,0.01853873453856364,0.39881874909224296,0.015985792724074004,0.2752989673558134
3.0,6.2475,12.9065,13.3095,4.26,2.2065,3.1,85.03984386774948,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,-0.4517412574056258,11.934817713705172,0.8703502541585582,0.022889651340684432,0.5488544813524238,0.016838552603638125,0.2843575499053805
3.0,554.251,1193.911,16.8405,8.31,3.4875,2.2,32.42317337058896,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,8.930102194254195,15.76547525756746,0.7688643804062548,0.03027812943712963,0.38752918279986925,0.033839977798601664,0.29520071326660874
3.0,637.1389999999999,1345.103,18.29,7.425,5.093,2.8000000000000003,30.274637152366942,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,11.292165443329196,17.070690073537264,0.840753973195314,0.025338652912406553,0.3947472635524025,0.026743586793228625,0.28845780216700967
3.0,839.998,1691.756,15.32,5.755,4.349,3.7,25.36187262751298,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,13.760171039976305,13.996636990715444,0.9063020813614584,0.021059595782800748,0.39948524386641815,0.020141625826750366,0.2817865917753024
3.0,620.892,1268.7420000000002,11.485,6.27,3.945,4.1000000000000005,25.49953396035326,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,11.905664206408497,10.175451216551949,0.9250298584044676,0.01980597875776424,0.3997645033231135,0.018102577927700154,0.27904990290633425
