like1,parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0,chain
inf,372.29492,1.3957257,506.64307,22438.473,717.2127,2292.342,3.8057568,53.489006,0.51254517,0.44878432,0.07698739,0.06267457,0.009147394,6.979983e-05,0.0033778397,0.005451204,0.0007667726,146.76962,89.00975,363.48135,25.64664,0.90604883,28.865078,18.11352,62.784035,0.009270689,68.67133,4.9590774,3.3820786,0.927302,0.0
inf,1501.1151,9.976439,74.38283,69724.67,1044.1111,30581.951,2.3691983,71.79087,0.36269662,0.12157866,0.028158037,0.058905263,0.008734347,0.00071498856,0.004999844,0.0058366195,0.0005327341,70.414734,39.91494,298.68564,146.87372,0.9761602,5.883829,53.467655,145.38252,0.00027785831,83.38483,1.5880692,6.631526,0.5826691,0.0
inf,373.82135,2.1098733,360.18936,33207.02,294.0291,30745.889,7.8664937,11.618705,0.6295152,0.1758955,0.1568244,0.048415538,0.00644876,0.0005319163,0.009181315,0.0019406562,0.00081904844,86.61919,70.55338,306.94543,80.75794,0.61813474,33.13089,38.57834,98.55184,0.0055710585,56.675285,0.3961241,12.297571,0.8765403,0.0
inf,438.4229,9.196526,1266.2037,97534.16,796.3061,9557.94,5.9022455,25.030182,0.6462009,0.3783348,0.43929297,0.03262562,0.0063156066,0.00015699663,0.0067688697,0.0016710884,0.00018255645,134.13791,81.46939,322.95535,28.727266,0.6463728,18.710722,74.447784,110.187325,0.0037392187,69.31238,1.1584034,8.337115,0.3045883,0.0
inf,1446.306,3.7737205,1962.0299,40813.15,1842.7006,78410.1,7.974492,55.05958,0.42441747,0.27815148,0.437469,0.03878628,0.008232843,0.00035572154,0.009075748,0.0046433792,0.0005845415,145.1355,56.085247,241.80113,74.61268,0.8834139,48.165863,35.62424,86.700195,0.0065326523,100.92709,2.5662591,10.743726,0.18871985,0.0
inf,1403.3407,8.670298,392.1029,23749.898,1388.7863,2440.4531,5.214228,111.74574,0.669975,0.31326702,0.17192791,0.055655573,0.0009703278,0.000357337,0.004006235,0.0013941865,0.00062658964,79.02053,81.00369,315.6982,127.23736,0.7012984,23.165707,30.193562,145.13382,0.0076101325,55.953453,4.723082,14.423684,0.30687428,0.0
inf,747.49347,1.6960254,1954.7914,43287.13,404.5436,32003.922,6.3877616,63.53256,0.6265887,0.46422592,0.16617437,0.020966938,0.0074545946,0.0006935807,0.0012819367,0.009302162,0.0008653584,8.800982,56.178253,327.09665,35.74267,0.6579166,50.58288,15.648093,101.71407,0.009155596,59.04999,3.6531615,6.9859643,0.66161895,0.0
inf,433.68533,7.1845527,1037.7595,85239.39,1706.8726,73419.08,2.96553,74.21931,0.51901,0.31015313,0.29102758,0.021838877,0.00076922384,0.00071129407,0.0008205868,0.0069364645,9.0622656e-05,52.22849,60.51942,205.79016,81.377464,0.71026635,10.182552,12.246456,58.457367,0.0048961067,139.46124,1.3038388,11.623517,0.6149952,0.0
inf,1355.2318,8.481297,352.08493,21789.434,606.5987,16369.486,5.1516943,104.80621,0.4649625,0.49794865,0.20798141,0.03727908,0.0079225935,0.00026553584,0.0009766318,0.0057873093,0.0009863036,53.72109,31.5452,240.02979,34.82799,0.9053789,11.069271,38.548744,106.51653,0.0053435382,149.45576,4.756783,0.51752084,0.44810256,0.0
inf,43.14121,4.573856,1289.2837,78312.67,511.64365,82436.5,4.60923,60.81143,0.52471495,0.21464795,0.07019717,0.07373779,0.009831135,0.0007604067,0.0067871828,0.0026268852,0.0009999357,108.591225,46.485577,328.83484,108.55044,0.77952874,33.6139,23.519058,91.783585,0.007044778,55.069164,2.3188639,5.1168356,0.8235251,0.0
inf,1505.0983,9.050458,800.8169,44303.016,163.34433,17940.043,6.856869,46.014267,0.6428548,0.43474123,0.1311928,0.039964907,0.006879813,0.0005727611,0.0036765346,0.0035413725,0.00012267791,153.34416,37.864174,277.4441,79.47004,0.8898589,52.45648,63.91796,72.76391,0.007701019,60.422413,1.3108284,0.85916764,0.8718489,0.0
inf,471.05957,9.271646,1027.7994,20104.729,942.3616,5413.3916,6.7579904,93.00946,0.63728553,0.07804126,0.19230922,0.027164292,0.008311954,0.00063468126,0.006277043,0.006974147,0.0007310452,85.24246,18.782343,341.46497,135.2253,0.7314507,4.09494,45.253178,81.36639,0.0044904463,122.384605,3.88905,10.875311,0.47990713,0.0
inf,1066.2123,5.203889,175.03107,52934.305,1335.5028,28438.299,4.810338,18.545961,0.62927955,0.13296348,0.19475408,0.05520594,0.0049496554,0.00048455078,0.00192881,0.0098951375,0.00077067805,4.207995,45.150406,350.79028,146.8617,0.7036321,6.3112617,23.255407,79.33738,0.0073051536,145.2768,0.7626312,14.094295,0.3932762,0.0
inf,796.00653,2.3795075,1497.9521,78507.195,1595.2949,26944.723,7.415758,84.79706,0.49071568,0.43865547,0.11541346,0.04939092,0.0074494244,0.00045811752,0.00946611,0.0013321153,0.00049915625,131.57304,96.26512,265.20117,140.24902,0.9458602,20.454319,72.68933,71.13247,0.006464306,87.24794,2.8914485,6.5275307,0.049026236,0.0
inf,234.46852,2.060856,1376.481,5711.0327,859.12915,67739.14,7.0027027,20.74032,0.48548993,0.40487653,0.034623347,0.046059635,0.003833402,0.0008876095,0.0063057556,0.007500126,0.00018970954,89.90731,15.075635,202.36913,66.585884,0.92094195,0.53147244,43.258747,110.080475,0.0032598614,74.22873,3.847377,6.3646655,0.56749237,0.0
645.67053,349.69186,6.803981,1141.1342,65162.734,125.035675,46472.543,4.890947,117.27382,0.651338,0.18966462,0.27590415,0.059528362,0.002749845,0.00068950997,0.005545068,0.00027278354,0.00040341823,170.95958,38.44893,267.00626,138.97758,0.6275987,9.41098,15.230938,84.78608,0.008791092,120.76277,4.6997056,1.880004,0.91565335,0.0
inf,1958.3849,7.224762,806.523,24662.521,504.79355,42925.55,5.39586,31.116415,0.40103254,0.3458932,0.28552887,0.051133934,0.0035073897,0.00043955958,0.0026594275,0.0029216353,0.00014563066,32.135937,18.5408,334.60468,107.29378,0.6805688,7.78821,22.141426,74.208565,0.007976317,63.166676,1.3807685,9.322252,0.5679982,0.0
