like1,parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0,chain
0.021111598,277.4797,10.008199,850.13513,35411.08,-12.478032,34854.227,2.8154194,116.45428,0.41796142,0.35533938,0.47560793,0.06983028,0.0037260135,8.871822e-05,0.003977933,-0.0011684118,2.7775144e-05,193.5574,43.538155,243.73425,12.551862,0.9311779,57.302807,59.5238,59.453487,0.003279894,71.938644,0.79488385,5.190336,0.1575241,0.0
0.3943749,611.32587,9.37569,1467.2706,4271.323,-24.466404,21127.055,1.883274,110.63789,0.33457816,0.32266694,0.5438617,0.079515055,0.0042516678,0.00023743305,0.003651646,0.00045837805,0.0001651988,157.8131,51.100292,231.65305,27.468157,0.8377124,51.582527,63.44309,63.40385,0.0024971932,98.66328,0.5385807,4.684513,0.1151464,0.0
inf,169.8215,10.818194,1273.4053,28122.861,214.75995,30866.262,0.8372166,110.79927,0.3795699,0.26186112,0.5179081,0.062234588,0.0058033434,0.0001006247,0.003662821,0.00070402067,0.00015415746,171.51491,58.926346,268.09122,31.051966,0.8998124,53.733826,74.36106,58.70982,0.0038824468,84.05868,0.4774312,6.7341704,0.07826223,0.0
0.26261252,537.9411,9.699864,1058.7257,21309.842,-51.932682,19473.71,2.294141,134.81119,0.33402538,0.391444,0.5581723,0.069577426,0.0046063783,0.00020006682,0.0018486391,-0.00032020276,9.507893e-05,198.40546,40.255947,228.10086,28.714573,0.81107205,44.64709,47.021957,35.99778,0.002124491,68.39237,0.50669795,2.7790675,0.12653966,0.0
0.081513435,478.53302,9.751717,1255.8469,26859.273,-265.6229,15254.775,1.0982845,126.92647,0.37310052,0.3010196,0.5250413,0.06809176,0.006534212,0.0002948747,0.0029862754,-0.0013262139,-2.8246537e-05,147.62117,33.834747,239.31891,45.031857,0.9416722,55.719055,59.95599,36.77978,0.003419356,76.60356,0.58698636,4.155029,0.09155866,0.0
0.13881788,578.43097,9.859778,1306.9175,15836.81,-27.037773,27918.826,2.152613,122.00712,0.39509848,0.29236916,0.5194008,0.086493544,0.0049086832,0.00013557261,0.002424863,-0.00074912136,5.1467516e-05,148.59303,33.06089,246.7978,3.6982558,0.91704583,58.771046,51.525703,49.381344,0.0023693612,87.690796,1.0561539,6.2577586,0.03644151,0.0
0.8750525,332.68118,10.080928,1309.7777,49348.613,-251.5306,24985.773,1.962923,119.21605,0.26599473,0.3545524,0.5480307,0.06773193,0.0044778534,0.00031398257,0.002948503,-0.0011848261,6.876354e-05,185.8815,46.879753,270.5279,30.73781,0.8511614,67.0124,62.327866,59.123962,0.0020422135,84.82201,0.10943993,5.4025784,0.17802651,0.0
0.13605185,85.04662,10.696999,1413.1857,25390.91,-242.59764,18009.094,1.6280959,107.593315,0.3255575,0.32327676,0.42098412,0.07133767,0.005088209,0.00028809096,0.004495385,-0.0004831667,-4.45678e-05,174.20906,36.764103,265.46542,14.752081,0.9445456,56.273354,57.32737,52.166348,0.0007422585,64.920456,2.0315585,4.416235,0.013147906,0.0
0.94161284,30.534523,9.984233,1373.7006,22090.984,-27.80286,35827.633,1.9339633,126.39007,0.33133528,0.28748807,0.47506103,0.075768925,0.003027378,0.0001314346,0.0027368816,0.0013750255,-0.000112142385,177.76256,43.5504,244.76889,21.507391,0.8309681,67.961174,65.15119,38.554466,0.0029305913,77.864746,1.8110448,5.8635106,0.04152362,0.0
0.30078351,395.7084,10.936943,1523.0474,15491.583,-70.60967,36463.406,2.7320702,144.91833,0.33099595,0.35558748,0.5626355,0.06487664,0.004902573,0.00020497607,0.002080029,0.00022194209,-4.1211592e-06,133.52528,35.534027,244.41515,44.53892,0.83914584,61.04726,67.040924,69.93601,0.0031271924,86.92065,-0.40879768,6.2988334,0.18314813,0.0
