pft,sw,par,ta,vpd,wds,lai,sza
3,561.1495,1118.998,10.6595,3.44,4.0285,1.5,37.26936239931924
3,343.647,722.876,22.159,8.219999999999999,5.273,2.3000000000000003,54.57394439758056
3,609.4780000000001,1217.4375,13.7725,6.255,3.334,2.4000000000000004,50.58172543394224
3,225.881,467.11,14.3295,5.465,3.65,3.1,66.28510264350463
3,179.472,335.539,18.0035,1.865,2.794,4.6000000000000005,32.76509776488801
3,256.201,563.905,15.0105,5.62,4.8195,3.1,29.51627312849833
3,108.4415,258.937,16.436999999999998,0.575,1.521,3.3000000000000003,37.36195344797501
3,727.255,1478.347,17.340000000000003,11.34,2.596,2.5,50.27327271178969
3,241.049,506.395,22.1705,8.15,5.0225,2.8000000000000003,66.18275943276906
3,571.2529999999999,1191.045,16.1315,6.465,3.1755,3.2,59.9218434388996
3,347.934,740.1800000000001,21.912,7.619999999999999,5.813,2.8000000000000003,56.223882374104086
3,652.3699999999999,1300.1819999999998,-3.948,1.955,4.015499999999999,1.0,55.62009805870074
3,759.2660000000001,1525.8964999999998,5.1015,5.67,6.902,1.0,33.18114396419678
3,0.0,0.0,-0.952,0.5800000000000001,2.9665,0.3,90.0
3,262.865,549.6085,-0.199,0.4449999999999999,4.056,1.0,50.67414656262901
3,745.135,1423.719,-4.922498046990407,2.0566660647528545,4.7940000000000005,0.7000000000000001,52.076713128868136
3,667.777,1327.629,10.92,9.25,5.971,1.4,31.21531737001428
3,460.001,879.1,14.866969516910274,12.745741923914718,4.574999999999999,1.4,57.53602097467936
3,457.059,916.676,21.4565,19.305,8.184999999999999,2.5,42.18221859754878
3,454.33400000000006,913.8395,4.564500000000001,6.37,5.6625,0.8,51.73309508095053
3,673.5889999999999,1292.4825,-5.8235,2.35,1.4375,0.5,55.62009805870074
3,676.662,1376.7424999999998,0.5195,4.29,2.927,1.0,48.5842077317932
3,89.72,217.722,16.7145,6.525,4.587,1.4,38.50878731437334
3,372.951,752.373,5.385,3.46,4.223625924781855,0.6000000000000001,44.21346654087436
3,0.0,0.0,-17.211,0.815,2.605,0.9,90.0
3,251.444,505.032,5.125,2.598937172283795,2.7955,0.5,50.61807858527304
3,842.04,1751.809,3.6395,4.82,4.1045,0.5,42.3880372310205
3,73.643,171.2015,2.553,0.315,4.140000000000001,0.7000000000000001,38.04460648591539
3,467.794,893.3240000000001,-10.579239394804176,1.0648753535593554,1.355,0.8,67.49489660092105
3,212.138,425.821,4.2535,0.92,0.9475,0.2,45.33830097757734
3,126.4975,293.726,8.2265,1.815,4.3145,1.0,50.67414656262901
3,778.6110000000001,1640.504,17.799999999999997,15.170000000000002,3.775,1.9,35.070012609037626
3,118.1215,241.6,4.323,0.155,2.16,1.5,67.05902277085592
3,302.15,610.0355,2.285,1.785,4.101,1.6,44.21346654087436
3,547.435,1085.632,-12.922,1.42,2.0700000000000003,0.9,58.03382984808527
3,653.78,1271.381,-13.7265,1.17,4.2545,0.8,56.92514538434008
3,61.635000000000005,101.9535,4.5455,0.815,4.799,2.7,72.79147639616416
3,101.8505,222.01,4.347,0.945,5.989,1.7000000000000002,61.54519423629437
3,0.0,0.0,7.42,0.355,1.9405,2.4000000000000004,90.0
3,616.797,1300.768,20.6615,14.115,1.482,2.4000000000000004,45.07
3,0.0,0.0,-4.5695,1.83,1.8835,0.4,90.0
3,35.8875,81.285,3.7245,0.0,1.2905,0.6000000000000001,66.73499458427742
3,161.97250000000005,322.469,16.8285,3.285,5.079000000000001,2.3000000000000003,64.9803641256904
3,436.471,791.7155,2.136,3.235,3.558,1.2000000000000002,57.22532341707146
3,193.8705,382.655,6.7995,3.3,1.5845,0.6000000000000001,72.80542156531683
3,111.1105,181.7995,9.207999999999998,0.28,2.356,2.4000000000000004,73.79738376770605
3,89.9145,144.9765,12.787,1.005,6.213,2.2,74.91584267557373
3,0.0,0.0,2.9145000000000003,0.71,3.572,1.5,90.0
3,0.0,0.0,8.2865,0.24,3.873,2.2,90.0
3,515.974,1104.947,13.4245,4.53,1.8265,2.5,63.30798768959706
3,483.029,988.814,22.05,9.685,5.3405000000000005,4.6000000000000005,55.505377341908776
3,674.379,1436.039,23.469,13.015,3.975,2.7,44.459637421360085
3,0.0,0.0,1.348,1.225,2.4475,3.2,90.0
3,189.888,375.668,6.10553624219062,1.8099818673456185,4.823,0.6000000000000001,68.36902966778663
3,90.0095,197.836,9.941,0.185,4.264,2.2,62.89039355403146
3,362.061,777.81,13.7875,5.995,4.543,1.0,71.70567908920243
3,85.28299999999999,182.007,5.589,0.595,3.4845,1.2000000000000002,64.54995638192834
3,76.633,163.482,13.1155,4.9,1.9195,1.3,58.50910328053917
3,101.5495,208.737,10.319,5.33,5.906000000000001,1.5,72.05180109945256
3,0.0,0.0,9.4915,1.62,1.906,2.5,90.0
3,146.1485,290.703,7.244,4.805,6.5765,3.3000000000000003,72.79147639616416
3,131.3295,295.7355,-16.1075,0.305,1.306,0.6000000000000001,68.01906079057224
3,307.372,639.5285,-10.983,0.795,6.127,0.5,59.44120965047127
3,0.0,0.0,-18.935,0.21,5.2315000000000005,0.8,90.0
3,122.281,258.569,-10.849,0.5700000000000001,7.54,0.6000000000000001,72.97709969788006
3,103.6315,211.237,-18.552965413509284,0.7588411974307693,1.7174999999999998,0.6000000000000001,69.92401105560671
4,495.0750000000001,998.945,26.994,2.646,4.8525,4.4,60.03700174641693
4,-0.2199999999999999,0.015,13.7715,0.1345,3.33,0.4,90.0
4,0.13,-0.005,14.437,0.924,3.2035,2.9000000000000004,90.0
4,237.55,492.145,24.6345,1.906,2.375,3.7,63.80078637571196
4,541.94,1090.1,15.073,0.3195,2.505,1.2000000000000002,36.44318378480821
4,370.995,757.5799999999999,11.1345,0.4425,4.876,4.5,31.28217916922541
4,229.485,456.76,17.1165,0.6355,3.034,5.6000000000000005,66.12521928190074
4,658.005,1309.36,19.268,1.2445,1.7395,4.9,48.80292755793871
4,401.92,803.165,31.539,3.7855,5.302,4.7,67.55973417276171
4,24.185,52.235,5.007,0.004,1.736,4.0,73.83592462688712
4,346.295,699.4449999999999,26.792,2.5815,4.3155,4.4,68.66927401215274
4,814.885,1635.99,13.5305,0.6265000000000001,3.689,2.7,36.44318378480821
4,482.9,938.99,29.251,2.841,3.385,5.6000000000000005,61.28435163260999
4,175.835,376.6,10.045,0.0854999999999999,3.931,4.6000000000000005,38.15463118633898
4,91.575,187.56,16.073999999999998,0.6735,3.141,5.1000000000000005,73.83592462688712
4,35.845,76.36,7.843,0.06,4.1845,2.7,74.14807893384416
4,192.895,405.53,7.393499999999999,0.05,2.3655,4.0,51.3887448037588
4,468.97,960.84,15.497,0.977322625350689,3.1275,1.2000000000000002,34.012660160774054
4,857.6700000000001,1709.83,27.563,2.334,3.623,5.6000000000000005,32.77857953872865
4,157.335,326.575,14.047,0.21,2.3325,5.2,51.00961755862095
4,222.79,465.34,8.111,0.169,2.838,4.2,43.46972387137476
4,643.33,1267.08,24.1795,1.826,2.4565,4.9,44.29391218776982
4,161.05,332.12,14.6915,0.8454999999999999,3.3875,2.7,69.3794648334057
4,119.34,255.065,9.4705,0.0465,4.548,4.6000000000000005,40.74536080345411
4,486.6905,964.5605,14.667000000000002,0.476,2.5495,4.9,54.543085391066285
4,165.725,346.045,9.7685,0.2289999999999999,4.6735,4.5,47.48112927276825
4,875.5250000000001,1710.55,24.2085,2.254,5.785,5.1000000000000005,30.52798893509788
4,660.7049999999999,1312.96,16.201,0.889,3.842,3.7,31.34787557676791
4,233.935,479.725,11.867,0.529,3.6385,4.5,51.253414917605575
4,0.155,0.01,12.199,0.488,3.6505,4.5,90.0
4,58.96000000000001,118.825,6.074,0.0195,2.8005,4.2,74.7450511053658
4,610.955,1230.56,22.8185,2.192,2.3195,1.2000000000000002,51.8841732021727
4,493.475,1016.855,15.4425,0.9285,3.475,2.7,60.53448837159418
4,809.865,1588.13,25.546,2.1710000000000003,3.585,4.9,35.91471078513071
4,738.02,1486.54,14.6465,0.79,3.772,2.7,43.44695590558855
4,427.5750000000001,886.155,16.3235,0.718,4.7455,5.2,41.14168334934308
4,292.385,621.005,19.1575,1.1789999999999998,4.0775,2.9000000000000004,44.012991856080646
4,278.465,501.315,16.195,0.207,2.2880000000000003,5.1000000000000005,57.70541941471955
4,619.6949999999999,1256.35,16.4205,0.5415,2.1065,2.4000000000000004,44.936526137282414
4,383.435,684.395,17.5715,0.3215,1.4315,5.1000000000000005,49.109951314811575
4,568.3204589604519,1130.8292479156394,19.002563240643507,1.6085488277584905,3.512822258523976,1.1,40.65539962027085
4,326.295,651.3199999999999,4.029,0.4469999999999999,3.7935,0.7000000000000001,63.37275475903477
4,0.235,0.005,-26.614,0.028,2.5105,0.3,90.0
4,81.095,143.435,6.2235,0.538,3.844,0.6000000000000001,85.68727745582984
4,447.84,906.145,-2.519,0.1345,4.0255,0.6000000000000001,48.19776843479748
4,400.045,801.51,0.2315,0.1674999999999999,2.4465000000000003,0.4,53.82815057447046
4,-0.045,-0.015,6.6685,0.5235000000000001,4.223,0.6000000000000001,90.0
4,747.66,1488.21,11.841,0.525,3.393,0.6000000000000001,40.1902408013881
4,0.0049999999999999,0.005,12.575,1.017,3.7235,1.1,90.0
4,163.275,364.51,13.352,0.287,3.5,4.5,32.157035046086065
4,558.075,1111.445,20.102,1.879,3.736,1.1,47.3763989604459
4,185.52,382.2,6.4,0.621,2.303,0.6000000000000001,70.44124838803855
4,93.78,219.7,3.616,0.245,3.9725,0.6000000000000001,49.13359546130956
4,584.665,1138.995,7.617,0.6265000000000001,2.683,0.6000000000000001,50.64473527553855
4,486.545,890.9649999999999,-23.353,0.0525,5.4885,0.2,61.46453470522226
4,300.575,623.655,3.899,0.3815,1.4625,0.6000000000000001,42.75221059682494
4,226.21,406.905,-16.0485,0.054,3.73,0.3,71.39194992308077
4,421.09,836.69,-3.5475000000000003,0.1255,2.8545,0.6000000000000001,54.10324746127462
4,239.32,524.67,2.7975,0.192,3.8195,0.6000000000000001,44.19545735310676
4,459.945,949.1,9.951,0.7255,3.67,0.6000000000000001,57.319963561421616
4,0.21,0.0,8.328,0.0584999999999999,3.31,1.0,90.0
4,673.6099999999999,1312.96,6.971,0.661,1.8805,0.7000000000000001,46.733200154835245
4,288.91,576.4300000000001,4.5805,0.2495,6.359,0.6000000000000001,56.121999984836414
4,354.685,700.11,5.0285,0.481,1.9615,0.6000000000000001,59.1739077244951
4,224.43,469.55,12.5105,0.8759999999999999,5.067,0.6000000000000001,63.41377921685661
4,40.755,90.935,11.2495,0.7975,3.001,0.5,72.41285859445644
4,310.08000000000004,645.35,18.3025,1.368,1.7839999999999998,0.7000000000000001,56.51
4,0.3,0.0,10.995,0.4335,4.44,4.1000000000000005,90.0
4,505.74,989.175,7.3535,0.578,3.095,1.1,59.2031149820338
4,361.42,725.45,12.57,0.6865,2.6100000000000003,2.2,53.06576942379038
4,40.585,84.41,9.6245,0.0275,4.3855,2.1,70.67851719469058
4,222.6,451.4500000000001,5.682499999999999,0.2275,0.9365,1.5,54.597336697392784
4,471.69,950.605,22.714,2.0035,2.7905,0.6000000000000001,63.81969435001774
4,442.255,872.92,10.773,0.7889999999999999,0.9685,0.5,63.67080598957212
4,137.3,288.355,-7.2745,0.0789999999999999,3.7345,0.5,69.05900983520895
4,-0.0549999999999999,-0.01,-1.835,0.1805,2.267,0.6000000000000001,90.0
4,603.45,1211.5,11.947,0.8089999999999999,5.229,1.4,55.4062262062903
4,107.13,225.28,7.256500000000001,0.3215,0.763,1.5,63.421654602277165
4,111.78,231.2,-0.215,0.081,1.5025,0.0,68.86090804810728
4,192.0,401.195,12.566,0.336,2.228,4.1000000000000005,51.32960350025581
4,479.87,948.025,7.83,0.385,3.3055000000000003,1.4,60.454069646068135
4,86.675,151.55,11.011,0.7745,2.8165,0.5,87.58668570398217
4,117.49,240.015,-11.723,0.064,3.728,0.4,71.42669269509942
4,321.305,640.8199999999999,10.805,0.528,2.8055,2.2,57.590712341599
4,145.53,303.835,6.9935,0.3005,1.142,1.5,57.521502473355206
