min_ref_nir,max_ref_nir,mean_ref_nir,median_ref_nir,std_ref_nir,2.5pct_ref_nir,97.5pct_ref_nir,5pct_ref_nir,95pct_ref_nir,year,doy,hour
0.1326,0.3943,0.26653498168498185,0.2872,0.07846592180130237,0.1333625,0.377075,0.13545,0.366,2004.0,146.0,7.0
0.1326,0.394,0.2553009157509155,0.26890000000000003,0.07657921544186752,0.1332,0.370425,0.134825,0.359825,2004.0,146.0,8.0
0.1326,0.396,0.24752600732600713,0.2563,0.07479758950509316,0.1332,0.3667625,0.134525,0.3564,2004.0,146.0,9.0
0.1326,0.3987,0.24257106227106218,0.24945,0.07356518750365207,0.133,0.366,0.134425,0.353875,2004.0,146.0,10.0
0.1326,0.4011,0.2398428571428571,0.24580000000000002,0.07292382398674169,0.133,0.3655,0.1344,0.3519,2004.0,146.0,11.0
0.1326,0.4023,0.23875036630036633,0.24395,0.07268383368235788,0.133,0.365375,0.134325,0.351225,2004.0,146.0,12.0
0.1326,0.402,0.23907069597069586,0.24445,0.0727565551274258,0.133,0.3651875,0.134325,0.35152500000000003,2004.0,146.0,13.0
0.1326,0.4001,0.24084413919413925,0.2475,0.07314763889340292,0.133,0.365575,0.1344,0.35250000000000004,2004.0,146.0,14.0
0.1326,0.3975,0.24452490842490854,0.25185,0.07404489985776014,0.133,0.366375,0.13445,0.355375,2004.0,146.0,15.0
0.1326,0.395,0.250706043956044,0.26195,0.07555964179368987,0.1332,0.367625,0.1346,0.3577,2004.0,146.0,16.0
0.1326,0.3938,0.2600441391941392,0.27675,0.07749401239072355,0.1332625,0.373575,0.13495,0.362325,2004.0,146.0,17.0
0.1326,0.3982,0.2730924908424911,0.29825,0.0791158899036863,0.1335875,0.3795,0.13597499999999998,0.3699,2004.0,146.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,146.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,6.0
0.1326,0.3945,0.26934285714285733,0.2909,0.07812337263940733,0.1335,0.3772,0.136025,0.36615000000000003,2004.0,147.0,7.0
0.1326,0.394,0.25817967032967043,0.273,0.07644012976936376,0.1333,0.3709875,0.13535,0.35985,2004.0,147.0,8.0
0.1326,0.396,0.25040567765567767,0.26134999999999997,0.07479985100803574,0.1332625,0.367,0.13492500000000002,0.357225,2004.0,147.0,9.0
0.1326,0.3987,0.24543919413919404,0.254,0.07366159694624125,0.13312500000000002,0.3666875,0.134825,0.355325,2004.0,147.0,10.0
0.1326,0.4011,0.2426919413919413,0.25005,0.07307604113627587,0.13312500000000002,0.3668375,0.1346,0.35475,2004.0,147.0,11.0
0.1326,0.4026,0.24160695970695964,0.2491,0.07287382124626943,0.13312500000000002,0.367075,0.134525,0.3541,2004.0,147.0,12.0
0.1326,0.402,0.24192344322344334,0.24935000000000002,0.07292895373885162,0.13312500000000002,0.36688750000000003,0.1346,0.354325,2004.0,147.0,13.0
0.1326,0.4001,0.24370128205128186,0.25144999999999995,0.07327357821485429,0.13312500000000002,0.3667625,0.1348,0.354825,2004.0,147.0,14.0
0.1326,0.3975,0.24739798534798532,0.25654999999999994,0.07410260265810086,0.1332,0.366575,0.13485,0.35607500000000003,2004.0,147.0,15.0
0.1326,0.395,0.2535734432234432,0.2666,0.07549258843172924,0.1332625,0.3681875,0.1351,0.35815,2004.0,147.0,16.0
0.1326,0.3938,0.26287728937728916,0.28065,0.07725922525466435,0.1334,0.3743125,0.1356,0.362725,2004.0,147.0,17.0
0.1326,0.3984,0.2758049450549451,0.30065,0.07866333275710918,0.1337625,0.379,0.136575,0.3704,2004.0,147.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,147.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,6.0
0.1326,0.395,0.2719791208791211,0.29469999999999996,0.077695067818121,0.1337625,0.3766875,0.1367,0.366425,2004.0,148.0,7.0
0.1326,0.394,0.2608840659340659,0.27695000000000003,0.07619649840703242,0.1334625,0.3718625,0.13579999999999998,0.36,2004.0,148.0,8.0
0.1326,0.396,0.25312032967032977,0.2659,0.07469320326153579,0.1333625,0.3675125,0.13545,0.3572,2004.0,148.0,9.0
